reporting_year,reporting_month,organization,action_as_per_source,enforcement_type,proactive_flag,topic,value,units,notes,standard_value,date
2024,February,Facebook,Proactive Rate,Content Actioned,Proactive,Hate Speech,96.9,value in percentage,,96.9,2024-02-01
2024,February,Facebook,Content Actioned,Content Actioned,Unknown,Hate Speech,93.7,value in thousands,,93.7,2024-02-01
2024,February,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Drugs,99.5,value in percentage,,99.5,2024-02-01
2024,February,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Drugs,5.2,value in thousands,,5.2,2024-02-01
2024,February,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Firearms,98.6,value in percentage,,98.6,2024-02-01
2024,February,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Firearms,6.5,value in thousands,,6.5,2024-02-01
2024,February,Facebook,Proactive Rate,Content Actioned,Proactive,Spam,98.6,value in percentage,,98.6,2024-02-01
2024,February,Facebook,Content Actioned,Content Actioned,Unknown,Spam,8.3,value in millions,,8.3,2024-02-01
2024,February,Facebook,Proactive Rate,Content Actioned,Proactive,Suicide and Self-Injury,99.9,value in percentage,,99.9,2024-02-01
2024,February,Facebook,Content Actioned,Content Actioned,Unknown,Suicide and Self-Injury,1.6,value in millions,,1.6,2024-02-01
2024,February,Facebook,Content Actioned,Content Actioned,Unknown,Violence and Incitement,98.5,value in thousands,,98.5,2024-02-01
2024,February,Facebook,Proactive Rate,Content Actioned,Proactive,Violent and Graphic Content,99.7,value in percentage,,99.7,2024-02-01
2024,February,Facebook,Content Actioned,Content Actioned,Unknown,Violent and Graphic Content,606.5,value in thousands,,606.5,2024-02-01
2024,March,Facebook,Proactive Rate,Content Actioned,Proactive,Adult Nudity and Sexual Activity,98.2,value in percentage,,98.2,2024-03-01
2024,March,Facebook,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,1.7,value in millions,,1.7,2024-03-01
2024,March,Facebook,Proactive Rate,Content Actioned,Proactive,Bullying and Harassment,96.7,value in percentage,,96.7,2024-03-01
2024,March,Facebook,Content Actioned,Content Actioned,Unknown,Bullying and Harassment,368.4,value in thousands,,368.4,2024-03-01
2024,March,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Nudity and Physical Abuse,99.6,value in percentage,,99.6,2024-03-01
2024,March,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Nudity and Physical Abuse,72.8,value in thousands,,72.8,2024-03-01
2024,March,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Sexual Exploitation,99.4,value in percentage,,99.4,2024-03-01
2024,March,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Sexual Exploitation,527.0,value in thousands,,527.0,2024-03-01
2024,March,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Organized Hate,94.6,value in percentage,,94.6,2024-03-01
2024,March,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Organized Hate,5.9,value in thousands,,5.9,2024-03-01
2024,March,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Terrorism,99.6,value in percentage,,99.6,2024-03-01
2024,March,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Terrorism,78.6,value in thousands,,78.6,2024-03-01
2024,March,Facebook,Proactive Rate,Content Actioned,Proactive,Hate Speech,94.6,value in percentage,,94.6,2024-03-01
2024,March,Facebook,Content Actioned,Content Actioned,Unknown,Hate Speech,43.3,value in thousands,,43.3,2024-03-01
2024,March,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Drugs,98.0,value in percentage,,98.0,2024-03-01
2024,March,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Drugs,1.2,value in thousands,,1.2,2024-03-01
2024,March,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Firearms,99.8,value in percentage,,99.8,2024-03-01
2024,March,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Firearms,6.2,value in thousands,,6.2,2024-03-01
2024,March,Facebook,Proactive Rate,Content Actioned,Proactive,Spam,97.7,value in percentage,,97.7,2024-03-01
2024,March,Facebook,Content Actioned,Content Actioned,Unknown,Spam,8.1,value in millions,,8.1,2024-03-01
2024,March,Facebook,Proactive Rate,Content Actioned,Proactive,Suicide and Self-Injury,99.9,value in percentage,,99.9,2024-03-01
2024,March,Facebook,Content Actioned,Content Actioned,Unknown,Suicide and Self-Injury,1.7,value in millions,,1.7,2024-03-01
2024,March,Facebook,Proactive Rate,Content Actioned,Proactive,Violence and Incitement,98.3,value in percentage,,98.3,2024-03-01
2024,March,Facebook,Content Actioned,Content Actioned,Unknown,Violence and Incitement,106.0,value in thousands,,106.0,2024-03-01
2024,March,Facebook,Proactive Rate,Content Actioned,Proactive,Violent and Graphic Content,99.6,value in percentage,,99.6,2024-03-01
2024,March,Facebook,Content Actioned,Content Actioned,Unknown,Violent and Graphic Content,665.3,value in thousands,,665.3,2024-03-01
2024,April,Facebook,Proactive Rate,Content Actioned,Proactive,Adult Nudity and Sexual Activity,98.2,value in percentage,,98.2,2024-04-01
2024,April,Facebook,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,1.7,value in millions,value: less than 1000,1.7,2024-04-01
2024,April,Facebook,Proactive Rate,Content Actioned,Proactive,Bullying and Harassment,96.9,value in percentage,,96.9,2024-04-01
2024,April,Facebook,Content Actioned,Content Actioned,Unknown,Bullying and Harassment,358.1,value in thousands,,358.1,2024-04-01
2024,April,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Nudity and Physical Abuse,99.5,value in percentage,,99.5,2024-04-01
2024,April,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Nudity and Physical Abuse,67.6,value in thousands,,67.6,2024-04-01
2024,April,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Sexual Exploitation,99.8,value in percentage,,99.8,2024-04-01
2024,April,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Sexual Exploitation,276.4,value in thousands,,276.4,2024-04-01
2024,April,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Organized Hate,99.0,value in percentage,,99.0,2024-04-01
2024,April,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Organized Hate,17.6,value in thousands,,17.6,2024-04-01
2024,April,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Terrorism,99.4,value in percentage,,99.4,2024-04-01
2024,April,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Terrorism,42.9,value in thousands,,42.9,2024-04-01
2024,April,Facebook,Proactive Rate,Content Actioned,Proactive,Hate Speech,96.1,value in percentage,,96.1,2024-04-01
2024,April,Facebook,Content Actioned,Content Actioned,Unknown,Hate Speech,48.7,value in thousands,,48.7,2024-04-01
2024,April,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Drugs,99.3,value in percentage,,99.3,2024-04-01
2024,April,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Drugs,3.0,value in thousands,,3.0,2024-04-01
2024,April,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Firearms,99.7,value in percentage,,99.7,2024-04-01
2024,April,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Firearms,5.0,value in thousands,,5.0,2024-04-01
2024,April,Facebook,Proactive Rate,Content Actioned,Proactive,Spam,97.7,value in percentage,,97.7,2024-04-01
2024,April,Facebook,Content Actioned,Content Actioned,Unknown,Spam,6.8,value in millions,,6.8,2024-04-01
2024,April,Facebook,Proactive Rate,Content Actioned,Proactive,Suicide and Self-Injury,99.9,value in percentage,,99.9,2024-04-01
2024,April,Facebook,Content Actioned,Content Actioned,Unknown,Suicide and Self-Injury,1.7,value in millions,,1.7,2024-04-01
2024,April,Facebook,Proactive Rate,Content Actioned,Proactive,Violence and Incitement,98.7,value in percentage,,98.7,2024-04-01
2024,April,Facebook,Content Actioned,Content Actioned,Unknown,Violence and Incitement,92.9,value in thousands,,92.9,2024-04-01
2024,April,Facebook,Proactive Rate,Content Actioned,Proactive,Violent and Graphic Content,99.6,value in percentage,,99.6,2024-04-01
2024,April,Facebook,Content Actioned,Content Actioned,Unknown,Violent and Graphic Content,567.8,value in thousands,,567.8,2024-04-01
2024,May,Facebook,Proactive Rate,Content Actioned,Proactive,Adult Nudity and Sexual Activity,98.2,value in percentage,,98.2,2024-05-01
2024,May,Facebook,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,2.2,value in millions,value: less than 1000,2.2,2024-05-01
2024,May,Facebook,Proactive Rate,Content Actioned,Proactive,Bullying and Harassment,96.7,value in percentage,,96.7,2024-05-01
2024,May,Facebook,Content Actioned,Content Actioned,Unknown,Bullying and Harassment,448.0,value in thousands,,448.0,2024-05-01
2024,May,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Nudity and Physical Abuse,99.5,value in percentage,,99.5,2024-05-01
2024,May,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Nudity and Physical Abuse,86.9,value in thousands,,86.9,2024-05-01
2024,May,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Sexual Exploitation,99.3,value in percentage,,99.3,2024-05-01
2024,May,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Sexual Exploitation,193.8,value in thousands,,193.8,2024-05-01
2024,May,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Organized Hate,99.7,value in percentage,,99.7,2024-05-01
2024,May,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Organized Hate,20.1,value in thousands,,20.1,2024-05-01
2024,May,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Terrorism,99.5,value in percentage,,99.5,2024-05-01
2024,May,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Terrorism,44.3,value in thousands,,44.3,2024-05-01
2024,May,Facebook,Proactive Rate,Content Actioned,Proactive,Hate Speech,95.9,value in percentage,,95.9,2024-05-01
2024,May,Facebook,Content Actioned,Content Actioned,Unknown,Hate Speech,62.7,value in thousands,,62.7,2024-05-01
2024,May,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Drugs,93.4,value in percentage,,93.4,2024-05-01
2024,May,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Drugs,512.0,value in thousands,,512.0,2024-05-01
2024,May,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Firearms,99.2,value in percentage,,99.2,2024-05-01
2024,May,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Firearms,2.8,value in thousands,,2.8,2024-05-01
2024,May,Facebook,Proactive Rate,Content Actioned,Proactive,Spam,98.6,value in percentage,,98.6,2024-05-01
2024,May,Facebook,Content Actioned,Content Actioned,Unknown,Spam,9.4,value in millions,,9.4,2024-05-01
2024,May,Facebook,Proactive Rate,Content Actioned,Proactive,Suicide and Self-Injury,99.9,value in percentage,,99.9,2024-05-01
2024,May,Facebook,Content Actioned,Content Actioned,Unknown,Suicide and Self-Injury,1.3,value in millions,,1.3,2024-05-01
2024,May,Facebook,Proactive Rate,Content Actioned,Proactive,Violence and Incitement,98.5,value in percentage,,98.5,2024-05-01
2024,May,Facebook,Content Actioned,Content Actioned,Unknown,Violence and Incitement,105.8,value in thousands,,105.8,2024-05-01
2024,May,Facebook,Proactive Rate,Content Actioned,Proactive,Violent and Graphic Content,99.9,value in percentage,,99.9,2024-05-01
2024,May,Facebook,Content Actioned,Content Actioned,Unknown,Violent and Graphic Content,1.8,value in thousands,,1.8,2024-05-01
2024,June,Facebook,Proactive Rate,Content Actioned,Proactive,Adult Nudity and Sexual Activity,97.4,value in percentage,,97.4,2024-06-01
2024,June,Facebook,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,2.3,value in millions,,2.3,2024-06-01
2024,June,Facebook,Proactive Rate,Content Actioned,Proactive,Bullying and Harassment,96.1,value in percentage,,96.1,2024-06-01
2024,June,Facebook,Content Actioned,Content Actioned,Unknown,Bullying and Harassment,418.6,value in thousands,,418.6,2024-06-01
2024,June,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Nudity and Physical Abuse,98.9,value in percentage,,98.9,2024-06-01
2024,June,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Nudity and Physical Abuse,39.6,value in thousands,,39.6,2024-06-01
2024,June,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Sexual Exploitation,95.2,value in percentage,,95.2,2024-06-01
2024,June,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Sexual Exploitation,156.7,value in thousands,,156.7,2024-06-01
2024,June,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Organized Hate,99.6,value in percentage,,99.6,2024-06-01
2024,June,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Organized Hate,16.9,value in thousands,,16.9,2024-06-01
2024,June,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Terrorism,99.5,value in percentage,,99.5,2024-06-01
2024,June,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Terrorism,78.1,value in thousands,,78.1,2024-06-01
2024,June,Facebook,Proactive Rate,Content Actioned,Proactive,Hate Speech,96.0,value in percentage,,96.0,2024-06-01
2024,June,Facebook,Content Actioned,Content Actioned,Unknown,Hate Speech,82.2,value in thousands,,82.2,2024-06-01
2024,June,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Drugs,90.1,value in percentage,,90.1,2024-06-01
2024,June,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Drugs,355.0,value in thousands,,355.0,2024-06-01
2024,June,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Firearms,98.8,value in percentage,,98.8,2024-06-01
2024,June,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Firearms,1.5,value in thousands,,1.5,2024-06-01
2024,June,Facebook,Proactive Rate,Content Actioned,Proactive,Spam,99.0,value in percentage,,99.0,2024-06-01
2024,June,Facebook,Content Actioned,Content Actioned,Unknown,Spam,6.7,value in millions,,6.7,2024-06-01
2024,June,Facebook,Proactive Rate,Content Actioned,Proactive,Suicide and Self-Injury,99.9,value in percentage,,99.9,2024-06-01
2024,June,Facebook,Content Actioned,Content Actioned,Unknown,Suicide and Self-Injury,1.4,value in millions,,1.4,2024-06-01
2024,June,Facebook,Proactive Rate,Content Actioned,Proactive,Violence and Incitement,97.9,value in percentage,,97.9,2024-06-01
2024,June,Facebook,Content Actioned,Content Actioned,Unknown,Violence and Incitement,72.8,value in thousands,,72.8,2024-06-01
2024,June,Facebook,Proactive Rate,Content Actioned,Proactive,Violent and Graphic Content,99.8,value in percentage,,99.8,2024-06-01
2024,June,Facebook,Content Actioned,Content Actioned,Unknown,Violent and Graphic Content,724.6,value in thousands,,724.6,2024-06-01
2024,July,Facebook,Proactive Rate,Content Actioned,Proactive,Adult Nudity and Sexual Activity,99.2,value in percentage,,99.2,2024-07-01
2024,July,Facebook,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,2.2,value in millions,,2.2,2024-07-01
2024,July,Facebook,Proactive Rate,Content Actioned,Proactive,Bullying and Harassment,95.6,value in percentage,,95.6,2024-07-01
2024,July,Facebook,Content Actioned,Content Actioned,Unknown,Bullying and Harassment,365.1,value in thousands,,365.1,2024-07-01
2024,July,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Nudity and Physical Abuse,99.7,value in percentage,,99.7,2024-07-01
2024,July,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Nudity and Physical Abuse,92.1,value in thousands,,92.1,2024-07-01
2024,July,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Sexual Exploitation,99.2,value in percentage,,99.2,2024-07-01
2024,July,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Sexual Exploitation,140.5,value in thousands,,140.5,2024-07-01
2024,July,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Organized Hate,99.4,value in percentage,,99.4,2024-07-01
2024,July,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Organized Hate,19.7,value in thousands,,19.7,2024-07-01
2024,July,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Terrorism,99.6,value in percentage,,99.6,2024-07-01
2024,July,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Terrorism,85.6,value in thousands,,85.6,2024-07-01
2024,July,Facebook,Proactive Rate,Content Actioned,Proactive,Hate Speech,95.6,value in percentage,,95.6,2024-07-01
2024,July,Facebook,Content Actioned,Content Actioned,Unknown,Hate Speech,61.8,value in thousands,,61.8,2024-07-01
2024,July,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Drugs,92.0,value in percentage,,92.0,2024-07-01
2024,July,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Firearms,99.7,value in percentage,,99.7,2024-07-01
2024,July,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Firearms,1.8,value in thousands,,1.8,2024-07-01
2024,July,Facebook,Proactive Rate,Content Actioned,Proactive,Spam,99.4,value in percentage,,99.4,2024-07-01
2024,July,Facebook,Content Actioned,Content Actioned,Unknown,Spam,9.2,value in millions,,9.2,2024-07-01
2024,July,Facebook,Proactive Rate,Content Actioned,Proactive,Suicide and Self-Injury,99.9,value in percentage,,99.9,2024-07-01
2024,July,Facebook,Content Actioned,Content Actioned,Unknown,Suicide and Self-Injury,1.2,value in millions,,1.2,2024-07-01
2024,July,Facebook,Proactive Rate,Content Actioned,Proactive,Violence and Incitement,97.7,value in percentage,,97.7,2024-07-01
2024,July,Facebook,Content Actioned,Content Actioned,Unknown,Violence and Incitement,63.8,value in thousands,,63.8,2024-07-01
2024,July,Facebook,Proactive Rate,Content Actioned,Proactive,Violent and Graphic Content,99.8,value in percentage,,99.8,2024-07-01
2024,July,Facebook,Content Actioned,Content Actioned,Unknown,Violent and Graphic Content,715.1,value in thousands,,715.1,2024-07-01
2024,August,Facebook,Proactive Rate,Content Actioned,Proactive,Adult Nudity and Sexual Activity,98.9,value in percentage,,98.9,2024-08-01
2024,August,Facebook,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,2.1,value in millions,,2.1,2024-08-01
2024,August,Facebook,Proactive Rate,Content Actioned,Proactive,Bullying and Harassment,96.8,value in percentage,,96.8,2024-08-01
2024,August,Facebook,Content Actioned,Content Actioned,Unknown,Bullying and Harassment,397.5,value in thousands,,397.5,2024-08-01
2024,August,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Nudity and Physical Abuse,99.4,value in percentage,,99.4,2024-08-01
2024,August,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Nudity and Physical Abuse,82.9,value in thousands,,82.9,2024-08-01
2024,August,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Sexual Exploitation,99.2,value in percentage,,99.2,2024-08-01
2024,August,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Sexual Exploitation,135.9,value in thousands,,135.9,2024-08-01
2024,August,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Organized Hate,99.5,value in percentage,,99.5,2024-08-01
2024,August,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Organized Hate,23.1,value in thousands,,23.1,2024-08-01
2024,August,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Terrorism,99.5,value in percentage,,99.5,2024-08-01
2024,August,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Terrorism,90.7,value in thousands,,90.7,2024-08-01
2024,August,Facebook,Proactive Rate,Content Actioned,Proactive,Hate Speech,95.7,value in percentage,,95.7,2024-08-01
2024,August,Facebook,Content Actioned,Content Actioned,Unknown,Hate Speech,87.0,value in thousands,,87.0,2024-08-01
2024,August,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Drugs,94.7,value in percentage,,94.7,2024-08-01
2024,August,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Firearms,99.2,value in percentage,,99.2,2024-08-01
2024,August,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Firearms,2.4,value in thousands,,2.4,2024-08-01
2024,August,Facebook,Proactive Rate,Content Actioned,Proactive,Spam,99.4,value in percentage,,99.4,2024-08-01
2024,August,Facebook,Content Actioned,Content Actioned,Unknown,Spam,6.5,value in millions,,6.5,2024-08-01
2024,August,Facebook,Proactive Rate,Content Actioned,Proactive,Suicide and Self-Injury,99.9,value in percentage,,99.9,2024-08-01
2024,August,Facebook,Content Actioned,Content Actioned,Unknown,Suicide and Self-Injury,1.1,value in millions,,1.1,2024-08-01
2024,August,Facebook,Proactive Rate,Content Actioned,Proactive,Violence and Incitement,98.2,value in percentage,,98.2,2024-08-01
2024,August,Facebook,Content Actioned,Content Actioned,Unknown,Violence and Incitement,128.3,value in thousands,,128.3,2024-08-01
2024,August,Facebook,Proactive Rate,Content Actioned,Proactive,Violent and Graphic Content,99.6,value in percentage,,99.6,2024-08-01
2024,August,Facebook,Content Actioned,Content Actioned,Unknown,Violent and Graphic Content,814.8,value in thousands,,814.8,2024-08-01
2024,September,Facebook,Proactive Rate,Content Actioned,Proactive,Adult Nudity and Sexual Activity,98.4,value in percentage,,98.4,2024-09-01
2024,September,Facebook,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,1.9,value in millions,,1.9,2024-09-01
2024,September,Facebook,Proactive Rate,Content Actioned,Proactive,Bullying and Harassment,95.4,value in percentage,,95.4,2024-09-01
2024,September,Facebook,Content Actioned,Content Actioned,Unknown,Bullying and Harassment,298.1,value in thousands,,298.1,2024-09-01
2024,September,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Nudity and Physical Abuse,99.5,value in percentage,,99.5,2024-09-01
2024,September,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Nudity and Physical Abuse,117.5,value in thousands,,117.5,2024-09-01
2024,September,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Sexual Exploitation,99.6,value in percentage,,99.6,2024-09-01
2024,September,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Sexual Exploitation,454.0,value in thousands,,454.0,2024-09-01
2024,September,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Organized Hate,99.5,value in percentage,,99.5,2024-09-01
2024,September,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Organized Hate,13.9,value in thousands,,13.9,2024-09-01
2024,September,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Terrorism,99.6,value in percentage,,99.6,2024-09-01
2024,September,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Terrorism,111.5,value in thousands,,111.5,2024-09-01
2024,September,Facebook,Proactive Rate,Content Actioned,Proactive,Hate Speech,94.6,value in percentage,,94.6,2024-09-01
2024,September,Facebook,Content Actioned,Content Actioned,Unknown,Hate Speech,55.6,value in thousands,,55.6,2024-09-01
2024,September,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Drugs,98.6,value in percentage,,98.6,2024-09-01
2024,September,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Drugs,10.2,value in thousands,,10.2,2024-09-01
2024,September,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Firearms,99.4,value in percentage,,99.4,2024-09-01
2024,September,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Firearms,5.5,value in thousands,,5.5,2024-09-01
2024,September,Facebook,Proactive Rate,Content Actioned,Proactive,Spam,99.2,value in percentage,,99.2,2024-09-01
2024,September,Facebook,Content Actioned,Content Actioned,Unknown,Spam,9.9,value in millions,,9.9,2024-09-01
2024,September,Facebook,Proactive Rate,Content Actioned,Proactive,Suicide and Self-Injury,99.9,value in percentage,,99.9,2024-09-01
2024,September,Facebook,Content Actioned,Content Actioned,Unknown,Suicide and Self-Injury,1.5,value in millions,,1.5,2024-09-01
2024,September,Facebook,Proactive Rate,Content Actioned,Proactive,Violence and Incitement,97.8,value in percentage,,97.8,2024-09-01
2024,September,Facebook,Content Actioned,Content Actioned,Unknown,Violence and Incitement,78.6,value in thousands,,78.6,2024-09-01
2024,September,Facebook,Proactive Rate,Content Actioned,Proactive,Violent and Graphic Content,99.5,value in percentage,,99.5,2024-09-01
2024,September,Facebook,Content Actioned,Content Actioned,Unknown,Violent and Graphic Content,694.2,value in thousands,,694.2,2024-09-01
2024,October,Facebook,Proactive Rate,Content Actioned,Proactive,Adult Nudity and Sexual Activity,97.9,value in percentage,,97.9,2024-10-01
2024,October,Facebook,Proactive Rate,Content Actioned,Proactive,Adult Nudity and Sexual Activity,98.4,value in percentage,,98.4,2024-10-01
2024,October,Facebook,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,1.5,value in millions,,1.5,2024-10-01
2024,October,Facebook,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,1.9,value in millions,,1.9,2024-10-01
2024,October,Facebook,Proactive Rate,Content Actioned,Proactive,Bullying and Harassment,96.3,value in percentage,,96.3,2024-10-01
2024,October,Facebook,Proactive Rate,Content Actioned,Proactive,Bullying and Harassment,95.4,value in percentage,,95.4,2024-10-01
2024,October,Facebook,Content Actioned,Content Actioned,Unknown,Bullying and Harassment,324.5,value in thousands,,324.5,2024-10-01
2024,October,Facebook,Content Actioned,Content Actioned,Unknown,Bullying and Harassment,298.1,value in thousands,,298.1,2024-10-01
2024,October,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Nudity and Physical Abuse,99.8,value in percentage,,99.8,2024-10-01
2024,October,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Nudity and Physical Abuse,99.5,value in percentage,,99.5,2024-10-01
2024,October,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Nudity and Physical Abuse,180.7,value in thousands,,180.7,2024-10-01
2024,October,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Nudity and Physical Abuse,117.5,value in thousands,,117.5,2024-10-01
2024,October,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Sexual Exploitation,99.1,value in percentage,,99.1,2024-10-01
2024,October,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Sexual Exploitation,99.6,value in percentage,,99.6,2024-10-01
2024,October,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Sexual Exploitation,147.7,value in thousands,,147.7,2024-10-01
2024,October,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Sexual Exploitation,454.0,value in thousands,,454.0,2024-10-01
2024,October,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Organized Hate,99.3,value in percentage,,99.3,2024-10-01
2024,October,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Organized Hate,99.5,value in percentage,,99.5,2024-10-01
2024,October,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Organized Hate,15.5,value in thousands,,15.5,2024-10-01
2024,October,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Organized Hate,13.9,value in thousands,,13.9,2024-10-01
