reporting_year,reporting_month,organization,action_as_per_source,enforcement_type,proactive_flag,topic,value,units,notes,standard_value,date
2025,December,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Drugs,97.9,value in percentage,,97.9,2025-12-01
2025,December,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Firearms,51.2,value in thousands,,51.2,2025-12-01
2025,December,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Firearms,99.9,value in percentage,,99.9,2025-12-01
2025,December,Facebook,Content Actioned,Content Actioned,Unknown,Spam,1.3,value in millions,,1.3,2025-12-01
2025,December,Facebook,Proactive Rate,Content Actioned,Proactive,Spam,99.7,value in percentage,,99.7,2025-12-01
2025,December,Facebook,Content Actioned,Content Actioned,Unknown,Suicide and Self-injury,2.0,value in millions,,2.0,2025-12-01
2025,December,Facebook,Proactive Rate,Content Actioned,Proactive,Suicide and Self-injury,100.0,value in percentage,,100.0,2025-12-01
2025,December,Facebook,Content Actioned,Content Actioned,Unknown,Violence and Incitement,2.5,value in thousands,,2.5,2025-12-01
2025,December,Facebook,Proactive Rate,Content Actioned,Proactive,Violence and Incitement,49.3,value in percentage,,49.3,2025-12-01
2025,December,Facebook,Content Actioned,Content Actioned,Unknown,Violent and Graphic Content,310.4,value in thousands,,310.4,2025-12-01
2025,December,Facebook,Proactive Rate,Content Actioned,Proactive,Violent and Graphic Content,98.0,value in percentage,,98.0,2025-12-01
2025,November,Facebook,Proactive Rate,Content Actioned,Proactive,Adult Nudity and Sexual Activity,98.1,value in percentage,,98.1,2025-11-01
2025,November,Facebook,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,1.1,value in millions,,1.1,2025-11-01
2025,November,Facebook,Proactive Rate,Content Actioned,Proactive,Bullying and Harassment,34.8,value in percentage,,34.8,2025-11-01
2025,November,Facebook,Content Actioned,Content Actioned,Unknown,Bullying and Harassment,13.0,value in thousands,,13.0,2025-11-01
2025,November,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Nudity and Physical Abuse,99.5,value in percentage,,99.5,2025-11-01
2025,November,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Nudity and Physical Abuse,270.9,value in thousands,,270.9,2025-11-01
2025,November,Facebook,Proactive Rate,Content Actioned,Proactive,Child Endangerment - Sexual Exploitation,99.3,value in percentage,,99.3,2025-11-01
2025,November,Facebook,Content Actioned,Content Actioned,Unknown,Child Endangerment - Sexual Exploitation,290.7,value in thousands,,290.7,2025-11-01
2025,November,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Organized Hate,97.2,value in percentage,,97.2,2025-11-01
2025,November,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Organized Hate,5.1,value in thousands,,5.1,2025-11-01
2025,November,Facebook,Proactive Rate,Content Actioned,Proactive,Dangerous Organizations and Individuals: Terrorism,99.2,value in percentage,,99.2,2025-11-01
2025,November,Facebook,Content Actioned,Content Actioned,Unknown,Dangerous Organizations and Individuals: Terrorism,93.2,value in thousands,,93.2,2025-11-01
2025,November,Facebook,Proactive Rate,Content Actioned,Proactive,Hate Speech,35.7,value in percentage,,35.7,2025-11-01
2025,November,Facebook,Content Actioned,Content Actioned,Unknown,Hate Speech,3.5,value in thousands,,3.5,2025-11-01
2025,November,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Drugs,97.2,value in percentage,,97.2,2025-11-01
2025,November,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Drugs,8.6,value in thousands,,8.6,2025-11-01
2025,November,Facebook,Proactive Rate,Content Actioned,Proactive,Regulated Goods: Firearms,99.9,value in percentage,,99.9,2025-11-01
2025,November,Facebook,Content Actioned,Content Actioned,Unknown,Regulated Goods: Firearms,60.9,value in thousands,,60.9,2025-11-01
2025,November,Facebook,Proactive Rate,Content Actioned,Proactive,Spam,99.1,value in percentage,,99.1,2025-11-01
2025,November,Facebook,Content Actioned,Content Actioned,Unknown,Spam,3.2,value in millions,,3.2,2025-11-01
2025,November,Facebook,Proactive Rate,Content Actioned,Proactive,Suicide and Self-injury,99.9,value in percentage,,99.9,2025-11-01
2025,November,Facebook,Content Actioned,Content Actioned,Unknown,Suicide and Self-injury,1.3,value in millions,,1.3,2025-11-01
2025,November,Facebook,Proactive Rate,Content Actioned,Proactive,Violence and Incitement,68.9,value in percentage,,68.9,2025-11-01
2025,November,Facebook,Content Actioned,Content Actioned,Unknown,Violence and Incitement,3.9,value in thousands,,3.9,2025-11-01
2025,November,Facebook,Proactive Rate,Content Actioned,Proactive,Violent and Graphic Content,98.5,value in percentage,,98.5,2025-11-01
